"url","city","price","year","manufacturer","make","condition","cylinders","fuel","odometer","title_status","transmission","vin","drive","size","type","paint_color","image_url","lat","long","county_fips","county_name","state_fips","state_code","state_name","weather"
"https://marshall.craigslist.org/cto/d/2010-dodge-challenger-se/6717448841.html","marshall","11900","2010","dodge","challenger se","good","6 cylinders","gas","43600","clean","automatic",,"rwd",,"coupe","red","https://images.craigslist.org/00i0i_2ggH1eKDNKZ_600x450.jpg","43.4775","-96.7041","46083","Lincoln","46","SD","South Dakota","38"
"https://marshall.craigslist.org/cto/d/fleetwood-wilderness-trailer/6713515522.html","marshall","1515","1999",,"fleetwood",,,"gas",,"clean","other",,,,,,"https://images.craigslist.org/00M0M_irjh7SjEcUc_600x450.jpg","44.7612","-96.6907","46039","Deuel","46","SD","South Dakota","38"
"https://marshall.craigslist.org/cto/d/2008-ford-150-super-charged/6717040051.html","marshall","17550","2008","ford","f-150",,,"gas",,"clean","automatic",,,,,,"https://images.craigslist.org/00s0s_eL2XFhEUcx3_600x450.jpg","44.1415","-103.2052","46093","Meade","46","SD","South Dakota","38"
"https://marshall.craigslist.org/cto/d/ford-taurus/6717431178.html","marshall","2800","2004","ford","taurus","good","6 cylinders","gas","168591","clean","automatic","1FAFP55UO4G113464","fwd","full-size","sedan","grey","https://images.craigslist.org/00L0L_5HUR1nQjt84_600x450.jpg","43.2845","-95.593","19143","Osceola","19","IA","Iowa","47"
"https://marshall.craigslist.org/cto/d/2001-grand-prix-gt/6703801452.html","marshall","400","2001",,"2001 Grand Prix",,,"gas","217000","clean","automatic",,,,,,"https://images.craigslist.org/00n0n_bJJ1XnonSGl_600x450.jpg","43.0261","-94.4064","19109","Kossuth","19","IA","Iowa","47"
"https://marshall.craigslist.org/ctd/d/2007-gmc-yukon-denali-awd-4dr/6716702030.html","marshall","9900","2007","gmc","yukon","good","8 cylinders","gas","169000","clean","automatic",,"4wd",,,,"https://images.craigslist.org/00T0T_hFLz9hAHi0c_600x450.jpg","43.328149","-96.774445","46083","Lincoln","46","SD","South Dakota","38"
"https://marshall.craigslist.org/cto/d/2015-jeep-patriot-high/6716022848.html","marshall","12500","2015","jeep","patriot high altitude","like new","4 cylinders","gas","39500","rebuilt","automatic",,"4wd","sub-compact","SUV","grey","https://images.craigslist.org/00404_RsUm4vwrGV_600x450.jpg","43.5486","-96.6332","46099","Minnehaha","46","SD","South Dakota","38"
"https://marshall.craigslist.org/ctd/d/2008-bmw-3-series-328i-first/6716563661.html","marshall","3900","2008","bmw","3 series",,,"gas","0","clean",,"WBAVA37508NL47474",,,,,"https://images.craigslist.org/00202_8ciATrWst3_600x450.jpg","41.622572","-87.632656","17031","Cook","17","IL","Illinois","48"
"https://soo.craigslist.ca/cto/d/ebike-red-zone-72v/6714285127.html","soo","2700","2018",,"Ebike","excellent",,"electric",,"clean","other",,,"mid-size",,"red","https://images.craigslist.org/01111_7YfxuQ9NxuT_600x450.jpg","46.509803","-84.257825",,,,,"FAILED",
"https://soo.craigslist.ca/ctd/d/2003-ford-excursion/6713896952.html","soo","12995","2003","ford","excursion","excellent","10 cylinders","gas","236000","clean","automatic","1FMNU41S43EB95265","4wd",,"SUV","blue","https://images.craigslist.org/00707_97tX51ryfcF_600x450.jpg","46.514191","-84.291307",,,,,"FAILED",
"https://soo.craigslist.ca/cto/d/2006-chev-express-2500-van/6706671694.html","soo","4000","2006","chev","express 2500 van","good","6 cylinders","gas","138000","clean","automatic",,"rwd","full-size","van","white","https://images.craigslist.org/00J0J_fovkGAUCQIG_600x450.jpg","46.497529","-84.467464",,,,,"FAILED",
"https://soo.craigslist.ca/cto/d/2002-chev-crew-cab-duramax/6706664414.html","soo","13000","2002","chevrolet","2500 hd","excellent","8 cylinders","diesel","350000","clean","automatic",,"4wd","full-size","truck","white","https://images.craigslist.org/00V0V_bN5BoWGnSSg_600x450.jpg","46.497529","-84.467464",,,,,"FAILED",
"https://soo.craigslist.ca/cto/d/2016-hyundai-sonata-sport/6704742250.html","soo","21695","2016","hyundai","sonata","like new","4 cylinders","gas","44814","clean","other","5NPE34AF4GH414743","fwd","full-size","sedan","white","https://images.craigslist.org/00z0z_fLBdcucFWW2_600x450.jpg","46.517791","-84.342291",,,,,"FAILED",
"https://soo.craigslist.ca/cto/d/green-camaro/6701825296.html","soo","18000","2011","chevrolet","camaro","like new","6 cylinders","gas",,"clean","manual",,"rwd","full-size","coupe","green","https://images.craigslist.org/00t0t_KU0Z6MO1H2_600x450.jpg","46.79674","-84.278784",,,,,"FAILED",
"https://soo.craigslist.ca/cto/d/2016-hyundai-santa-fe-xl/6700435638.html","soo","29000","2016","hyundai","santa fe xl","excellent","6 cylinders","gas","31500","clean","automatic",,"4wd",,"SUV","black","https://images.craigslist.org/00a0a_9U3pKMXoRaw_600x450.jpg","46.512332","-84.252914",,,,,"FAILED",
"https://soo.craigslist.ca/cto/d/2010-chev-cobolt/6697662487.html","soo","4500","2010","chev","cobolt","excellent","4 cylinders","gas","103456","clean","automatic",,"fwd","compact","sedan","black","https://images.craigslist.org/00f0f_4ecUhRvxZyE_600x450.jpg","46.5307","-84.3046",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2006-honda-cr-exl-4wd/6718645084.html","whistler","9865","2006","honda","cr-v exl","like new","4 cylinders","gas","193599","clean","automatic",,"4wd",,"SUV","blue","https://images.craigslist.org/01313_7S6L1Yguvn6_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-ram-1500-laramie-crew/6718645085.html","whistler","41896","2017","ram","1500 laramie","like new","8 cylinders","gas","38578","clean","automatic",,"4wd",,"pickup","black","https://images.craigslist.org/00I0I_1UfrU4wNoH2_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-acura-mdx-navi-awd/6718645079.html","whistler","44678","2017","acura","mdx navi","like new","6 cylinders","gas","37230","clean","automatic",,"4wd",,"SUV","grey","https://images.craigslist.org/00q0q_9n1vrv74AcY_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-bmw-x1-28i-awd/6718645071.html","whistler","32546","2016","bmw","x1 28i","like new","4 cylinders","gas","39555","clean","automatic",,"4wd",,"SUV","white","https://images.craigslist.org/00909_hVgnQkFcSbY_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-acura-rdx-premium-awd-awd/6718645064.html","whistler","30678","2016","acura","rdx premium","like new","6 cylinders","gas","38556","clean","automatic",,"4wd",,"SUV","grey","https://images.craigslist.org/01313_7S6L1Yguvn6_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2018-kia-sorento-24l-lx-fast/6718644839.html","whistler","26500","2018","kia","sorento",,,"gas","41318","clean","automatic",,,,,,"https://images.craigslist.org/00B0B_khBKT80k6ur_600x450.jpg","49.266498","-122.998938",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-acura-rdx-elite-awd-awd/6718643804.html","whistler","31658","2016","acura","rdx elite","like new","6 cylinders","gas","59770","clean","automatic",,"4wd",,"SUV","black","https://images.craigslist.org/00808_6fmlmkZ4BJl_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2015-acura-rdx-premium/6718643796.html","whistler","25997","2015","acura","rdx premium","like new","6 cylinders","gas","86702","clean","automatic",,"4wd",,"SUV","black","https://images.craigslist.org/00E0E_h6I1jHp6dTO_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2015-acura-tlx-tech-fwd-fwd/6718643797.html","whistler","26657","2015","acura","tlx tech","like new","4 cylinders","gas","37363","clean","automatic",,"fwd",,"sedan","black","https://images.craigslist.org/01313_7S6L1Yguvn6_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2015-acura-mdx-navi-certified/6718643792.html","whistler","33678","2015","acura","mdx navi certified","like new","6 cylinders","gas","84625","clean","automatic",,"4wd",,"SUV","white","https://images.craigslist.org/00L0L_8jAGPqkZ4Cl_600x450.jpg","49.234133","-122.861002",,,,,"FAILED",
