,Unnamed: 0,price,year,odometer,lat,long,labels
378398,1513592,4500,2008.0,170350.0,40.413847,-86.827623,0
333570,1334280,10350,2012.0,28614.0,41.2949,-96.0546,0
247386,989544,5800,2014.0,42000.0,45.832256,-94.959898,0
303866,1215464,3990,2002.0,140746.0,48.17547800000001,-114.298375,0
21604,86416,14000,2015.0,51600.0,35.174791,-106.563778,0
37370,149480,28900,2016.0,34000.0,40.5449,-74.3517,0
14618,58472,16900,2008.0,120483.0,28.072228000000006,-82.458761,0
347734,1390936,3500,1994.0,155000.0,38.226183,-77.4555,0
38622,154488,2400,1998.0,144000.0,42.0556,-76.1519,0
17448,69792,20750,2010.0,76433.0,32.871517,-96.983271,0
62254,249016,5500,2008.0,184000.0,40.9637,-81.4211,0
79425,317700,13990,2012.0,92000.0,49.026576,-122.82921,0
383417,1533668,8500,2015.0,32000.0,40.3044,-86.4689,0
374224,1496896,16999,2015.0,25431.0,47.1991,-122.3151,0
366030,1464120,15950,2012.0,115000.0,40.9277,-74.3428,0
149775,599100,55900,1996.0,20150.0,44.1005,-123.1334,0
369360,1477440,5999,2004.0,244846.0,47.841211,-122.297249,0
267439,1069756,13495,2016.0,51762.0,35.824692,-86.36454,0
259333,1037332,13950,2011.0,47628.0,38.485592,-91.851291,0
375332,1501328,66999,2017.0,30260.0,46.234838,-119.128015,0
179669,718676,14500,2001.0,120000.0,34.089,-118.0955,0
193108,772432,5000,2008.0,100992.0,42.127772,-70.829369,0
59602,238408,4500,2008.0,172000.0,39.4744,-76.2997,0
63618,254472,19183,2010.0,44152.0,38.4018,-93.785,0
41651,166604,19950,2004.0,80727.0,34.768443,-86.89506800000002,0
298597,1194388,3250,2004.0,156998.0,28.850075,-82.579083,0
263059,1052236,2500,2007.0,170.0,39.0274,-94.2087,0
119599,478396,3300,2002.0,161000.0,34.6019,-112.3264,0
198001,792004,7900,2008.0,121500.0,40.7097,-80.1046,0
425468,1701872,4995,2005.0,99000.0,35.478216,-80.995631,0
390864,1563456,49894,2018.0,6.0,41.857356,-90.185544,0
378250,1513000,3995,2000.0,97420.0,41.122022,-85.142453,0
87621,350484,6500,2006.0,192000.0,37.0169,-93.2022,0
